Unnamed: 0,광역시/도,시/군/구,관광지명,검색건수,CONTENTID,CONTENTTYPEID,OVERVIEW,SIDOCODE,SIGUNGUCODE,DATA
0,강원특별자치도,강릉시,주문진항,14444,1625166,12,"주문진항은 주로 화물선이 주로 입출항하고 있으며 동해안의 주요어항기지, 약 350여척의 어선이 드나들며 난류와 한류가 만나는 동해의 특성상 오징어, 양미리, 명태, 청어, 멸치 등이 많이 잡힌다. 배에서 갓 내려놓은 횟감이 무척 싱싱하며 관광객의 구미를 당기기에  충분하다. 저렴한 가격으로 많은 회를 즐길 수 있다.",32,32001,주문진 항 주로 화물선 주로 입 출항 동해안 어항 기지 척 어선 난류 한류 동해 특성 오징어 양미리 명태 청어 멸치 배 갓 횟감 무척 관광객 구미 가격 회
1,강원특별자치도,강릉시,강릉중앙시장,13542,132771,38,"강릉시 성남동 일대에 위치한 중앙시장은 1980년 1월 18일부로 등록개설된 강릉시내 전통시장으로서 동쪽으로 동부시장, 서쪽으로 서부시장 다음으로 세 번째 개장되어 핵심 유통시장 기능을 100% 발휘하며 성업중에 있다.시장의 구성은 중앙시장주변으로 개별 상가 점포들로 구성도니 성남시장이 있으며 주변에는 축협, 농협마트, 새마을금고 등이 밀집해 있고, 노점상들이 골목길, 도로변에 형성되어 사계절 지역특산물이 거래되는 등 유통기능이 활성화 되어 있다. 중앙시장의 주요 고유특성은 지역 향토성을 띄고 특산물의 거래가 활발 하며 강릉 도심 내 인구는 물론 동해안 농어촌지역 인구도 중앙시장을 많이 찾고 있다.  그리고 1년에 한번 강릉 단오제 행사가 중앙시장주변 남대천 일대 단오장에서 약 1주일정도  거행될 경우 전국에서 각종 품목이 모여드는 영동중심의 전통 재래시장이다.",32,32001,강릉시 성남동 일대 중앙시장 등록 개설 강릉 전통 시장 부시장 서부시장 다음 세 개장 핵심 유통 시장 기능 발휘 성업 시장 구성은 중앙시장 주변 개별 상가 점포 구성 도니 성남시장 주변 축협 농협 마트 새마을금고 밀집 노점상 골목길 도로 변 형성 사계절 특산 물이 거래 유통 기능 활성화 중앙시장 주요 고유 특성 향토 특산 물의 거래 활발 강릉 도심 인구 동해안 농어촌 인구 중앙시장 한번 강릉 오제 행사 중앙시장 주변 남대천 일대 단오 주일 거행 경우 전국 각종 품목 중심 전통 재래시장
2,강원특별자치도,강릉시,안목해변,9472,127722,12,"견소동에 위치한 길이 500m, 2만㎡의 백사장이 있는 안목해변은 가족단위 피서객이 즐기기 적합한 곳이다. 해변 바로 옆에 안목항이 있어 봄에는 미역, 여름에는 가자미, 넙치(광어), 오징어, 문어, 민들조개(째복), 가을과 겨울에는 도루묵, 명태, 우럭 등을 23척의 어선들이 잡아 오전 9시 귀항한다. 피서철이 끝나는 8월말 경에는 고등어가 멸치를 잡아먹기 위해 쫓는데, 바닷가로 밀려나오는  멸치떼를 바가지, 반두 등으로 떠내는 일이 종종 있는 곳이다. 최근 이 곳은 커피를 즐길 수 있는 커피거리로도 유명하다.",32,32001,견소동 길이 백사 안목 해변 가족 단위 피 객 해변 바로 안목항 봄 미역 여름 가자미 넙치 광어 오징어 문어 민 조개 복 가을 겨울 도루묵 명태 우럭 척 어선 오전 귀항 피 철 경 고등어 멸치 바닷가 멸치 떼 바가지 반두 종종 최근 커피 커피 거리
3,강원특별자치도,강릉시,아르떼뮤지엄강릉,8959,2804197,14,"아르떼뮤지엄 강릉은 디스트릭트가 2021년 12월 강릉 경포호 인근에서 선보이는 세 번째 몰입형 미디어아트 상설 전시관이다. 관동팔경의 으뜸인 강릉에서 밸리(VALLEY)라는 테마로 백두대간의 중추인 강원도와 강릉의 지역적 특성을 반영한 12개의 다채로운 미디어아트 전시가 1,500평의 공간에서 펼쳐진다. 영원한 자연(ETERNAL NATURE)을 주제로 제작된 작품들은 시각적 강렬함과 감각적인 사운드, 품격있는 향기와 함께 완벽한 몰입 경험을 제공한다.",32,32001,아르떼 뮤 지엄 강릉 디스 트릭 트 강릉 경포호 세 몰입 미디어아트 상설 전시관 관동팔경 으뜸 강릉 밸리 테마 백두대간 중추 강원도 강릉 특성 반영 개 채 미디어아트 평의 공간 자연 주제 제작 작품 시각 감각 사운드 품격 향기 몰입 경험 제공
4,강원특별자치도,강릉시,정동진해변,6116,128757,12,"정동진에서 해수욕할 수 있는 곳은 세 곳이 있는데, 정동진역 앞의 바다와 모래시계 공원 앞의 바다, 그리고 정동진 방파제가 있는 바다이다.넓고 이용하기 쉬운 곳은 정동진역 앞의 해변과 모래시계공원 앞의 바다이다. 모래시계 공원이 낮과 밤을 밝혀주며 남으로는 조각(해돋이) 공원과 헌화로가 있는 관광명소이다. 특히 정동진역 앞에서는 조개와 홍합, 미역, 성게 등을 따먹을 수 있는 바위가 많아서 사람들이 많이 찾고 있다.또한 정동진역은 세계에서 바다와 제일 가까이 있는 간이역으로, 동해의 푸른 창파에서 우람하게 솟아오르는 해를 맞는 관광객들이 많다. 지난 1997년 정동진 해돋이 관광열차의 운행으로 급부상하여 관광객들이 사계절 내 내 붐빈다.",32,32001,정동진 해수욕 세 정동진역 바다 모래시계 공원 바다 정동진 방파제 바다 정동진역 해변 모래시계 공원 바다 모래시계 공원 낮 밤 남 조각 해돋이 공원 화로 관광명소 정동진역 조개 홍합 미역 성게 바위 사람 또한 정동진역 세계 바다 제일 간이역 동해 푸른 창파 람 해 관광객 지난 정동진 해돋이 관광열차 운행 급부 상하 관광객 사계절
5,강원특별자치도,강릉시,강문해변,4916,585522,12,"강문해변은 강문동에 자리 잡고 있으며 주변에 작은 포구인 강문항이 있어 근처 횟집에서 새벽에 잡은 싱싱한 생선회를 맛볼 수 있다. 깨끗이 정비된 숙박시설과 경포지구가 근접해 있다. 강문해변에서는 보트로 5∼10분 걸리는 곳에 정박을 하여 수심 5∼30m의 바닷속에 방대하게 펼쳐진 자연짬(바위), 말미잘, 대형 어류 등 뛰어난 수중경관을 감상할 수 있어 스킨스쿠버 동호인들이 많이 찾고 있으며 특히 추억을 남기고 싶은 신혼부부를 위한 수중 다이빙도 하고 있다. 또한 강문항이 있어 16척의 어선이 가자미, 노래미, 문어, 민들조개(째복), 성게, 멍게, 해삼 등을 수시로 잡고 봄에는 넙치, 광어, 대복 조개, 여름과 가을에는 삼치, 겨울에는 우럭 등을 잡고 있다. 낚시 애호가들은 항구에서 황어와 노래미(놀래기) 등을 낚기도 한다.",32,32001,강문 해변 강문 동 잡고 주변 포구 강문 항 근처 횟집 새벽 생선회 정비 숙박시설 경포 지구 강문 해변 보트 정박 수심 바 자연 짬 바위 말미잘 대형 어류 수중 경관 감상 스킨 스쿠버 호인 추억 신혼부부 수중 다이빙 또한 강문 항 척 어선 가자미 노래미 문어 민 조개 복 성게 멍게 해삼 잡고 봄 넙치 광어 복 조개 여름 가을 삼치 겨울 우럭 잡고 낚시 애호가 항구 황어 노래미 놀래기 낚기
6,강원특별자치도,강릉시,하슬라아트월드,3872,127951,12,"하슬라아트월드는 자연과 사람, 예술이 조화롭게 공존하는 종합예술공간이다. 3만 3천여 평의 조각공원은 ‘성성활엽길’, ‘소나무 정원’, ‘시간의 광장’, '바다정원‘, ’하늘전망대‘, ’돌갤러리와 소똥미술관‘의 테마로 자연훼손을 최소화하기 위하여 비탈면과 산의 높이를 그대로 이용하여 손으로 직접 만들었으며 자연을 가장 아름답게 볼 수 있는 각도로 길을 내고 예술정원으로 꾸몄다. 하슬라아트월드는 국내외 작가들과 함께 하는 예술 작업 및 공연 전시 축제가 1년 내내 끊이지 않는 특별한 경험과 행복을 주는 공간이다. 실내미술관에는 현대 미술 200여 점이 전시된 '현대 미술관'과 유럽 각국에서 수집한 마리오네트와 피노키오 작품들이 전시된 '피노키오 & 마리오네트 미술관'이 있다. 하슬라 미술관은 기획전시, 초대전시, 상설전시가 진행 중이며 전시 스케줄에 따라 관람할 수 있다.",32,32001,하슬라 아트 월드 자연 사람 예술 공존 종합예술 공간 평의 공원 활엽 길 소나무 정원 시간 광장 바다 정원 하늘 전망대 갤러리 똥 미술관 테마 자연 훼손 최소 비탈 산 높이 그대로 손 직접 자연 가장 각도 길 예술 정원 하슬라 아트 월드 국내외 작가 예술 작업 공연 축제 내내 경험 행복 공간 실내 미술관 현대 미술 여 현대 미술관 유럽 각국 수집 마리오네트 피노키오 작품 피노키오 마리오네트 미술관 하슬라 미술관 기획 초대 상 설전 시가 진행 중이 스케줄 관람
7,강원특별자치도,강릉시,주문진해변,2301,125699,12,"* 고운 모래의 백사장, 매년 오징어 축제가 열리는 주문진해변 *주문진 해변은 주문진읍 향호리에 위치하고 길이 700m,  면적 9,608㎡의 넓은 백사장과 수심이 얕고 바닷물이 맑아 가족 단위 피서지에 적합한 곳이다. 하얀 모래밭이 흰 속살을 드러내고 파도가 연안에서 흰 거품을 드리우면 무더위를 잊게 한다. 울창한 해송은, 피서객들에게 그늘을 만들어 주고 포근한 분위기를 주어 밤새 이야기꽃을 피워 낭만과 젊음을 발산하게 한다. 또한 솔밭 안에 있는 체육공원은 피서를 즐기면서 체력도 단련할 수 있으며, 주변에는 가족호텔과 깨끗이 정비된 민박집과 6,600㎡의 소나무 숲에 하루 440곳의 텐트를 설치할 수 있는 야영장이 있다. 바로 옆에는 향호 저수지가 있어 담수어 낚시도 가능하며 멀지 않은 곳에 주문진항, 우암진항, 오리진항 등 항구가 많아 신선한 해물을 저렴한 가격에 즐길 수 있다. 봄철에는 꽁치, 여름에는 오징어가, 가을, 겨울에는 복어와 양미리 등이 많이 잡혀 제철에 가면 저렴한 가격으로 구입할 수 있다. 또 바다를 끼고 횟집과 회센터들이 밀집해 있어 즉석에서 횟감을 맛볼 수 있다.",32,32001,모래 사장 매년 오징어 축제 주문진 해변 주문진 해변 주문진읍 호리 길이 면적 사장 수심 바닷물 가족 단위 피 서지 모래밭 살 파도 연안 거품 무더위 울창 해송 피 객 그늘 분위기 주어 밤새 이야기 꽃 낭만 젊음 발산 또한 솔밭 공원 피 주변 가족 호텔 정비 민박 소나무 숲 하루 텐트 설치 야영장 바로 향호 저수지 담수어 낚시 주문진 항 우암진항 오리진 항 항구 해물 가격 봄철 꽁치 여름 오징어 가을 겨울 복어 양미리 제철 가면 가격 구입 바다 끼 횟집 회 센터 밀집 즉석 횟감
8,강원특별자치도,강릉시,강릉항,1875,2731193,12,"강원도 강릉시 송정동에 있는 항구이다. 2008년 5월까지는 안목항으로 불리다 개칭되었다. 조선후기까지 견조도라는 섬이었고 지금은 육계도가 되었다. 강릉의 주요 하천인 남대천 하류에 있는 항구로 백사장인것이 특징이다. 황어, 숭어, 멸치, 고등어가 잘 잡혀 낚시하기 좋은 장소이다. 또한 연안에는 오징어, 가자미, 문어 등이 조업된다. (출처 : 강원도청)",32,32001,강원도 강릉시 송정동 항구 안목항 불리 개칭 조선 후기 견조도 지금 육계도 강릉 주요 하천인 남대천 하류 항구 사장 특징 황어 숭어 멸치 고등어 낚시 장소 또한 연안 오징어 가자미 문어 조업 출처 강원 도청
9,강원특별자치도,강릉시,송정해변,1761,125694,12,"송정동에 있으며 길이 700m, 2만8천㎡의 백사장이 있다. 주변에는 송림이 유명하다. 고려 충숙왕의 부마 최문한(崔文漢)이 송도에서 강릉에 올 때 소나무 8그루를 가지고 와 이곳에 심어 팔송정이라 하다가 그 후 송정이라 했다고 전하고 있다. 도로를 접한 입구에 쉴 수 있는 벤치와 간이매점이 있어 해수욕을 즐기는 이보다는 드라이브를 나온 사람들이 간단한 차 한잔이나 음료수로 바다를 관망하기 좋다. 소나무가 해변 도로 양 옆을 가득 메워 분위기 또한 최고이다.",32,32001,송정동 길이 백사 주변 송림 고려 충숙왕 부마 최문 송도 강릉 소나무 그루 가지 송정 송정 전하 도로 접 벤치 간이 매점 해수욕 드라이브 사람 차 한잔 음료수 바다 관망 소나무 해변 도로 양 가득 분위기 또한 최고
