Unnamed: 0,광역시/도,시/군/구,관광지명,검색건수,CONTENTID,CONTENTTYPEID,OVERVIEW,SIDOCODE,SIGUNGUCODE,DATA
0,강원특별자치도,강릉시,강릉커피거리,7307,2414791,12,1980년대 초부터 커피 명소로 명성을 얻어온 안목 카페거리는 1990년대 들어서면서부터 국내 최고의 커피 명장들이 하나둘씩 모여들어 관광 명소로 떠올랐다고 로스팅 기계를 들여놓고 자신만의 손맛을 낸 원두를 볶아내는 커피숍이 늘어나면서 전국 커피 마니아들의 눈과 입을 사로잡기 시작하여 이곳은 전국적인 명소로 거듭났다 커피 거리로 자리매김한 안목해변 일대에서는 바다를 그윽하게 바라보며 직접 내린 커피 한잔을 맛볼 수 있는 카페들이 계속 늘어나고 있다 커피 축제를 개최하는 등 최근 커피 도시로 급부상한 강릉지역의 커피숍이 횟집 수에 근접하는 등 강릉이 우리나라를 대표하는 커피 도시로 성장하고 있다.,32.0,32001.0,초 커피 명소 명성 안목 카페 거리 국내 최고 커피 명장 하나 둘 관광 명소 로스팅 기계 자신 손맛 원두 커피숍 전국 커피 마니아 눈 입 시작 전국 명소 거듭 커피 거리 김 안목 해변 일대 바다 윽 직접 커피 한잔 카페 계속 커피 축제 개최 최근 커피 도시 급부 강릉 커피숍 횟집 강릉 우리나라 대표 커피 도시
1,강원특별자치도,강릉시,갤러리밥스,4355,2753134,39,"갤러리밥스는 강릉에서 핫한 곳으로 달콤하고 고소한 초당옥수수 커피를 판매하고 있는 카페다. 원래 등심 돈가스로 유명한 레스토랑이었고 후식으로 제공하던 커피를 좀 더 특색 있는 메뉴로 바꾸기 위해 초당 옥수수에서 힌트를 얻어 신메뉴를 개발한 것을 계기로 오직 초당 옥수수 커피만 판매하는 커피 전문점이 되었다. 초당옥수수 커피는 흔들거나 섞지 않고 컵에 입을 댄 채 한 모금씩 마셔야 다양한 맛을 느낄 수 있으며, 달콤한 초당옥수수 크림과 고소한 우유, 갓 내린 에스프레소의 절묘한 조화가 꽤 잘 어울린다.  근처에 허균, 허난설헌 기념관, 경포아쿠아리움, 아르떼뮤지엄 강릉이 있어 초당 옥수수커피를 맛보기 위해 카페에 들르는 손님들이 많아 지고 있다.",32.0,32001.0,갤러리 밥스 강릉 핫 초당 옥수수 커피 카페 등심 돈가스 레스토랑 후식 제공 커피 좀 특색 메뉴 초당 옥수수 힌트 메뉴 개발 계기 오직 초당 옥수수 커피 커피 전문점 초당 옥수수 커피 컵 입 채 모금 맛 초당 옥수수 크림 우유 갓 에스프레소 조화 근처 허균 허난설헌 기념관 경포 아쿠아리움 아르떼 뮤 지엄 강릉 초당 옥수수 커피 맛보기 카페 손님 지고
2,강원특별자치도,강릉시,초당두부마을,2299,264370,12,"경포해수욕장에서 남쪽으로 조금 내려오면 순두부로 유명한 초당두부마을이 있다. 강릉에서 가장 유명한 먹거리인 초당순두부는 콩을 갈아 여러 과정을 거쳐 동해안의 바닷물로 응고시켜 만든 것으로 굉장히 부드럽고 고소하다. 순두부, 두부전골, 모듬두부 등 순두부를 비롯한 다양한 두부요리를 맛볼 수 있다. 이 마을의 이름 초당은 한국의 유명한 소설가이자 시인이었던 허균[ 許筠, 1569 ~ 1618 ]과 그의 누나인 유명한 여류시인 허난설헌( 許蘭雪軒, 1563 ~ 1589)의 아버지 허엽( 許曄, 1517 ~ 1580)의 호(원래 이름을 부르는 것을 피하는 풍속에 의해 따로 만든 이름)를 따서 붙여진 이름이다. 현재 이 마을에는 허균과 허난설헌이 살았던 집터가 남아 있다.",32.0,32001.0,경포해수욕장 조금 순두부 초당 두부 마을 강릉 가장 먹거리 초당 순두부 콩 과정 동해안 바닷물 응고 순두부 두부 전골 듬 두부 순두부 비롯 두부 요리 마을 이름 초당 한국 소설가 이자 시인 허균 누나 여류 시인 허난설헌 아버지 허엽 호 이름 피하 풍속 이름 이름 현재 마을 허균 허난설헌 집터 남아
3,강원특별자치도,강릉시,초당할머니순두부,1512,133808,39,"‘두부’하면 초당두부를 금방 연상할 정도로 초당두부를 전국에 알려지게 끔 큰 공헌을 한 장본인은 창업주인 박응순 할머니이다. 지금은 대를 이어서 아들 김영환 씨가 전통을 잇고 있다. 초당두부는 예부터 바닷물로 간수를 쓰는 것이 전래되어 오고 있는데 일반 응고제와는 달리 더 보드랍고 고소한 맛을 내게 하며 그 맛이 일품이다. 근처의 경포바다나, 정동진의 일출을 보고 나서 아침식사 겸 별미를 찾는 내방객들의 발걸음들이 이른 아침부터 끊이질 않는다. 초당 마을은 옛날 소설 홍길동전의 저자 허균의 아버지 허엽 선생의 호에서 유래된 명칭으로 전해진다.",32.0,32001.0,두부 초당 두부 금방 연상 초당 두부 전국 공헌 장본인 창업 주인 박 응순 할머니 지금 아들 김영환 씨 전통 초당 두부 예 바닷물 간수 전래 응고 제 달리 맛 맛 일품 근처 경포 바다 정동진 일출 보고 아침식사 겸 별미 방객 발걸음 아침 초당 마을 옛날 소설 홍길동전 저자 허균 아버지 허엽 선생 호 유래 명칭
4,강원특별자치도,강릉시,벌집,1273,2781674,39,"강릉 벌집 칼국수는 강릉시 임당동에 위치한 유명 칼국수집이다. 삼대천왕과 수요미식회에도 소개된 바 있으며, 원래부터 현지 주민들과 관객들로부터 사랑받는 맛집이었지만 방송을 탄 이후로 인기가 급상승하여 평일에도 많은 사람들이 찾아온다. 재료가 떨어지면 문을 닫으니 미리 전화로 물어보고 가는 것이 좋다. 오래된 한옥을 개조한 식당으로, 외관은 조금 오래되고 허름하지만 진짜 한자리에서 오래 운영한 맛집이란 믿음을 주는 것도 사실이다. 내부는 간판에서 주는 느낌보다 깔끔하다. 넓지 않은 내부이기에 줄 서서 들어가야 한다. 평범한 가격대이지만 그 손맛만은 가격을 메길 수 없을 정도로 일품이다. 수요미식회 방송 이전에는 비빔국수와 만두 등 다른 음식들도 맛볼 수 있었으나, 방송 이후 손칼국수(장칼국수) 하나만 내놓는다. 하지만 칼국수를 맛봤다면 이 집의 진가는 이미 확인한 것이니 너무 걱정하지 말자.40년 내공이 담긴 칼국수는 직접 담근 고추장으로 만든 장칼국수이다. 또한 직접 담근 배추김치와 깍두기는 그냥 먹어도 맛있다. 이 장칼국수의 묘미는 바로 고기고명이다. 걸쭉하고 붉은 국물 위에 잘게 간 고기고명과 김가루, 깨가 듬뿍 올려져 있어 보고만 있어도 배부르다.",32.0,32001.0,강릉 벌집 칼국수 강릉시 임당동 유명 칼국수 천왕 요미 회 소개 바 현지 주민 관객 맛집 방송 인기 급상승 평일 사람 재료 문 미리 전화 옥 개조 식당 외관 조금 허름하 진짜 한자리 운영 맛집 믿음 내부 간판 느낌 내부 이기 줄 서서 가격 손맛 가격 일품 요미 회 방송 이전 비빔국수 만두 다른 음식 방송 손 칼국수 장 칼국수 하나 칼국수 집의 진가 확인 걱정 말 내공 칼국수 직접 고추장 장 칼국수 또한 직접 배추김치 깍두기 그냥 장 칼국수 묘미 바로 고명 국물 간 고명 김 가루 깨 듬뿍 보고
5,강원특별자치도,강릉시,현대장칼국수,1246,2837796,39,"현대장칼국수는 멸치육수를 베이스로 한 매운 고추장 양념으로 국물맛을 내는 장칼국수 전문점이다. 청양고추와 고춧가루를 넣어 인위적이지 않고 자연스럽게 매콤한 맛을 내며, 채소를 듬뿍 넣고 달걀을 풀어내는 것이 특징이다. 지역 방송을 비롯해 3대 천왕, 맛있는 녀석들 같은 맛집 프로그램에 여러 차례 소개되면서 이름을 알리고 있는 곳이다. 매운맛은 더 맵게, 보통, 덜 맵게로 맵기 조절도 가능하고, 맑은 칼국수를 선택할 경우 담백하고 구수한 칼국수를 맛볼 수 있다. ※반려동물 동반 가능",32.0,32001.0,현대 칼국수 멸치 육수 베이스 고추장 양념 국물 맛 장 칼국수 전문점 청양고추 고춧가루 인위 자연 매콤 맛 채소 듬뿍 달걀 특징 방송 비롯 천왕 녀석 맛집 프로그램 차례 소개 이름 알리 맛 맵 보통 덜 맵 게로 조절 맑은 칼국수 선택 경우 칼국수 반려동물 동반 가능
6,강원특별자치도,강릉시,장안횟집,1073,2775521,39,"장안횟집은 강릉 사천항 수산물 직판장 앞에 위치한 넓은 규모의 횟집이다. 메뉴는 물회와 회덮밥, 우럭 미역국 등으로 물회와 회덮밥에 들어가는 재료를 오징어, 물가자미, 광어 중에서 선택할 수 있다. 재료들은 모두 자연산 해산물과 활어로 믿고 먹을 수 있다. 다만 계절에 따라, 주 재료의 수급 상황에 따라 회덮밥과 물회에 들어가는 재료(오징어, 가자미, 광어 등)가 바뀌는 경우도 있다. 강릉에서 물회 맛집으로 알려져 있어 성수기에 방문한다면 대기는 필수이다.",32.0,32001.0,장안 횟집 강릉 사천항 수산물 직판 규모 횟집 메뉴 물회 회덮밥 우럭 미역국 물회 회덮밥 재료 오징어 물가 자미 광어 선택 재료 자연 산 해산물 활 다만 계절 재료 수급 상황 회덮밥 물회 재료 오징어 가자미 광어 경우 강릉 물회 맛집 수기 방문 대기 필수
7,강원특별자치도,강릉시,만동제과,850,2892062,39,만동제과는 강원도 강릉시 강릉중앙시장 근처에 있는 줄을 서서 먹는 빵집이다. 평일에도 오픈 전부터 빵이 나오기를 기다리는 줄이 길다. 문이 열리면 2팀씩 빵집으로 들어가서 빵을 골라 나와야 한다. 바로바로 구매해서 나가기 때문에 대기가 길지는 않다. 하지만 그날의 빵이 다 팔리면 바로 마감한다. 시그니처 메뉴는 마늘바게트이지만 다른 빵들도 인기가 좋다. 빵을 맛있게 먹는 방법이 쓰여 있는데 첫 번째는 바로 먹는다. 두 번째는 냉동시킨 후 30분 정도 자연해동 후 먹는다. 세 번째는 20분 해동 후 아이스크림처럼 먹는다고 적혀 있다. 주차는 강릉 중앙시장 공영 주차장을 이용하면 된다.,32.0,32001.0,동제 강원도 강릉시 강릉 중앙시장 근처 줄 서서 빵집 평일 오픈 빵 문 팀 빵집 빵 구매 대기 길 그날 빵 바로 마감 처 메뉴 마늘 바게트 다른 빵 인기 빵 방법 첫 바로 두 냉동 자연 해동 세 해동 아이스크림 주차 강릉 중앙시장 공영 주차장
8,강원특별자치도,강릉시,삼교리동치미막국수본점,726,2870175,39,"삼교리 동치미막국수(본점)는 40여년 전 주인장이 강원도 주문진 삼교리에서 동네 주민들에게 막국수를 대접하면서 시작된 식당이다. 1년 이상 숙성한 동치미 국물로 육수를 만들고 국수는 매장에서 주문 즉시 뽑아 만들어 낸다. 특별히 저온 숙성을 통해 만든 시원한 육수 맛에 손님이 끊이지 않는다. 강원도 맛을 느낄 수 있는 막국수 곁들임 메뉴로  수육, 메밀만두, 메밀전을 같이 판매하고 있다. 주차는 매장 앞에 널찍한 전용 주차장이 있어 이용이 편리하다.",32.0,32001.0,교리 동치미 막국수 본점 년 주인 강원도 주문진 교리 동네 주민 막국수 대접 시작 식당 이상 동치미 국물 육수 국수 매장 주문 즉시 저온 숙성 육수 맛 손님 강원도 맛 막국수 메뉴 수육 메밀 만두 메밀전 주차 매장 주차장
9,강원특별자치도,강릉시,금천칼국수,679,2871190,39,금천칼국수는 강릉시에 있는 장칼국수 맛집이다. 대로변에 있는 상가에 있어 별도의 주차장은 없다. 근처 도로변에 주차하거나 건너편에 있는 유료 주차장이나 강릉시립도서관 주차장을 이용해야 한다. 메뉴는 간단하게 장칼국수이다. 여기에 옹심이를 넣은 것도 있다. 매운맛은 주문할 때 조절할 수 있다. 부모님과 함께 온 어린이들이 매운 장칼국수를 먹지 못한다면 영양 주먹밥을 주문할 수 있다. 여름에는 쥐눈이콩으로 만든 냉콩국수도 맛볼 수 있다. 반찬은 배추김치와 깍두기로 단출한데 식탁에 김치 항아리를 두고 접시에 양껏 덜어 먹을 수 있도록 제공하고 있다. 대기가 많은 식당이니 방문 시 확인이 필요하다.,32.0,32001.0,금천 칼국수 강릉시 장 칼국수 맛집 대로 변 상가 별도 주차장 근처 도로 변 주차 거나 건너편 유료 주차장 강릉 시립 도서관 주차장 메뉴 장 칼국수 여기 옹심이 맛 주문 조절 부모님 어린이 장 칼국수 영양 주먹밥 주문 여름 쥐눈 콩 냉 콩국수 반찬 배추김치 깍두기 식탁 김치 항아리 접시 껏 제공 대기 식당 방문 확인
