,Unnamed: 0,CONTENTID,CONTENTTYPEID,CAT1,CAT2,CAT3,TITLE,SIDOCODE,SIGUNGUCODE,ADDRESS,CREATEDTIME,MODIFIEDTIME,MAPX,MAPY,MLEVEL,FIRSTIMAGE,MCATEGORY,SCATEGORY,SEARCHCOUNT,OVERVIEW,DATA
0,0,128611,12,A01,A0101,A01010500,서울숲,1,1016,서울특별시 성동구 뚝섬로 273 (성수동1가),20100000000000.0,20200000000000.0,127.041777,37.54305533,6,http://tong.visitkorea.or.kr/cms/resource/00/2611300_image2_1.bmp,문화관광,도시공원,232630,"2005년 6월 18일 ‘서울숲’ 개원 이전까지는 임금의 사냥터였고 1908년 설치된 서울 최초의 상수원 수원지였으며, 이후 경마장, 골프장으로 활용되기도 했다. 현재 ‘서울숲’은 18만 평 규모의 4개 테마공원으로서 환경친화적인 대규모 휴식 공간으로 탈바꿈하였다. 영국의 하이드파크(Hyde Park), 뉴욕의 센트럴파크(Central Park)와 같이 서울의 웰빙공간이 되었다.  * 서울숲 광장 1) 서울숲 중앙에 위치 2) 서울숲 광장, 뚝섬 가족마당, 장식 화단, 방문자 센터, 스케이트 파크, 야외무대, 수변휴게실(레스토랑), 숲속의 빈터, 숲속 놀이터, 물놀이터 등으로 구성  * 뚝섬생태숲 (165,000㎡) 1) 과거 한강물이 흘렀던 곳 2) 한강과 중랑천을 연계하는 자연 생태숲으로 재현 (야생동물의 서식 공간) 3) 야생동물 방사 - 8종 114수(꽃사슴 40, 고라니 10, 다람쥐 30, 다마사슴 8마리) 등 4) 연못 - 원앙 6, 청둥오리 8, 흰뺨검둥오리 8, 쇠물닭 4마리 5) 야생동물을 관찰할 수 있도록 보행 가교 설치  * 자연체험학습장 (85,000㎡) 1) 구 뚝섬정수장 구조물을 재활용 2) 곤충 식물원, 야생초화원, 테마초화원과 이벤트마당, 지킴이 숲 등으로 조성  * 습지생태원 (70,000㎡) 1) 유수지의 기존 자연환경을 활용 2) 습지생태관리소, 환경 놀이터, 야외 자연교실, 조류관찰대, 습지초화원, 정수식물원 등  * 한강공원 (33,000㎡) 1) 공원의 남서측 한강변에 위치 2) 한강·중랑천 합류부의 자연호안, 수변공원, 선착장, 휴게공간 등",서울숲 개원 이전 임금 사냥터 설치 상수 수원지 경마장 골프장 활용 기도 현재 서울숲 규모 개 테마 공원 환경 적 대규모 휴식 공간 탈바꿈 영국 이드 파크 뉴욕 센트럴 파크 웰빙 공간 서울숲 광장 서울숲 중앙 서울숲 광장 뚝섬 가족 마당 장식 화단 방문자 센터 스케이트 파크 야외 무대 변 휴게실 레스토랑 숲속 빈터 숲속 놀이터 물 놀이터 구성 뚝섬 생태 숲 과거 강물 한강 중랑천 계 자연 생태 숲 재현 야생동물 서식 공간 야생동물 방사 종 꽃사슴 고라니 다람쥐 다마 사슴 마리 연못 원앙 청둥오리 흰뺨검둥오리 쇠물닭 마리 야생동물 관찰 보행 가교 설치 자연 체험학습 구 뚝섬 정수 조물 재활용 곤충 식물원 야생 초 화원 테마 초 화원 이벤트 마당 지킴 숲 조성 습지 생태 유수지 기존 자연환경 활용 습지 생태 관리소 환경 놀이터 야외 자연 조류 관찰 습지 초 화원 정수 식물원 한강 공원 공원 남서 강변 한강 중랑천 합류 부의 자연 호안 변 공원 선착장 휴게 공간
1,1,2589349,12,A01,A0101,A01010700,서울식물원,1,1004,서울특별시 강서구 마곡동로 161 (마곡동),20200000000000.0,20200000000000.0,126.8328564,37.57229819,6,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image2_1.jpg,문화관광,테마공원,166270,"서울식물원은 세계 12개 도시 식물과 식물 문화를 소개하고 도시의 생태감수성을 높이기 위해 서울에 남은 마지막 개발지 마곡에 조성되었다. 식물원과 공원을 결합한 이른바 ‘보타닉 공원’으로서 면적은 축구장 70개 크기에 달한다. 멸종 위기 야생식물 서식지를 확대하고 번식이 어려운 종의 증식 연구, 품종 개발 등 식물의 육성이라는 식물연구보전기관 본연의 역할은 물론, 도시 정원문화 확산의 교두보이자 평생교육기관의 역할을 수행한다. 식물원은 열린 숲과 주제원, 호수원, 습지원 등 4가지 공간으로 나뉘며, 그중 하이라이트는 식물문화센터와 야외 주제정원, 마곡문화관이 포함된 주제원이다.",식물원 세계 개 도시 식물 식물 문화 소개 도시 생태 감수성 개발 마곡 조성 식물원 공원 결합 보 닉 공원 면적 축구장 개 크기 달 멸종 위기 야생 식물 서식지 확대 번식 종 증식 연구 품종 개발 식물 육성 식물 연구 보전 기관 본연 역할 도시 정원 문화 확산 교두보 이자 평생교육 기관 역할 수행 식물원 숲 주제 호수 습지 가지 공간 하이라이트 식물 문화센터 야외 주제 정원 마곡 화관 포함 주제
2,2,822384,12,A01,A0101,A01010500,북서울꿈의숲,1,1003,서울특별시 강북구 월계로 173 ,20100000000000.0,20200000000000.0,127.0407498,37.62338765,6,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,문화관광,도시공원,65715,"옛 드림랜드 부지에 조성된 ‘북서울 꿈의 숲’은 월드컵공원, 올림픽공원, 서울숲에 이어 서울에서 4번째로 큰 공원이다. 공원을 둘러싸는 곳은 벚꽃길을, 공원 북쪽 아파트 지역과 인접한 곳에는 단풍숲을 조성했다. 공원 동남쪽에 있던 전통 한옥인 창녕위궁재사(등록문화재 제40호)는 원래 모습으로 복원됐고 주변에 연못과 정자(애련정) 등이 조성돼 운치를 더했다. 300석 규모의 공연장 2개와 다목적홀, 전망대 등을 갖춘 문화센터가 있다. 문화센터 전망대에서는 북쪽으로 북한산, 도봉산, 수락산의 절경을 감상할 수 있고 남쪽으로 남산과 한강까지도 조망이 가능하다. 주요 공원시설은 호수, 대형잔디광장, 월광폭포, 정자(애련정), 산책로, 칠폭지, 야생초화원, 포켓파크와 미술관, 문화센터, 카페테리아, 지하주차장 등이 있다. 강북 지역에 최초로 조성된 대형 녹지공원으로, 기존 노후된 시설물을 모두 비우고, 지형에 맞는 생태적 조경공간으로 탈바꿈하였다. 전통건축물인 창녕위궁재사 건물은 원형으로 복원되었으며, 주변에는 푸른호수와 함께 정자와 폭포 등이 조성돼 전통경관도 연출하였다. 그동안 드림랜드 눈썰매장으로 쓰였던 경사지에는 공연장과 전시장, 레스토랑, 전망타워 등이 들어서서 강북지역 최첨단 문화 공간으로 거듭나게 되었다. 또한, 아파트와 도로로 둘러싸인 공원 경계부에는 어느 곳에서나 공원접근이 가능하도록 포켓파크, 쌈지마당, 가로공원, 산책로, 체력단련장 등 다양한 형태의 공간으로 조성되어 주민들이 생활 공원으로 최대한 이용할 수 있도록 공간을 구성하였다.  * 오동근린공원 북서울 꿈의 숲이 조성된 지역은 오패산(123m)과 벽오산(135m)의 두 봉우리가 있는 ''오동근린공원''이 있는데, 양 산봉우리의 가운데 평탄지에는 1989년부터 운영되었던 ''드림랜드''라는 놀이시설이 있었지만 지금은 모두 철거되었고 그 자리에는 호수, 잔디광장 등 친환경적인 새로운 녹지공원의 주요시설이 들어섰다. 드림랜드가 있었던 부지를 가운데 두고 양쪽에는 숲이 보존되어 있는데, 이 숲속에는 상수리나무, 잣나무, 소나무, 아까시나무, 은사시 나무 등이 혼재하여 있고, 다람쥐, 청설모, 꿩, 뱀, 개구리 등의 동물과 멧비둘기, 쇠박새, 참새, 까치 등 다양한 조류가 서식하고 있다.",드림랜드 조성 북 꿈 숲 월드컵 공원 올림픽 공원 서울숲 공원 공원 벚꽃 길 공원 단풍 숲 조성 공원 동남쪽 전통 옥 창녕 궁재 사 등록 문화재 제 호 모습 복원 주변 연못 정자 애련 조성 운치 규모 공연장 개 목적 홀 전망대 문화센터 문화센터 전망대 북한 산 도봉산 수락산 절경 감상 남산 한강 주요 시설 호수 대형 잔디 광장 월광 폭포 정자 애련 산책로 폭 야생 초 화원 포켓 파크 미술관 문화센터 카페테리아 지하 주차장 강북 조성 대형 녹지 공원 기존 노후 시설 물 지형 생태 공간 탈바꿈 전통 건축물 창녕 궁재 사 건물 원형 복원 주변 푸른 호수 정자 폭포 조성 전통 경관 연출 그동안 드림랜드 눈썰매장 공연장 전시장 레스토랑 전망타워 강북 최첨단 문화 공간 거듭 또한 도로로 공원 계부 접근 포켓 파크 쌈지 마당 가로 공원 산책로 장 형태 공간 조성 주민 생활 공원 최대한 공간 구성 오동근 린 공원 북 꿈 숲 조성 오패산 벽 오산 두 봉우리 오동근 린 공원 양 산봉우리 가운데 평탄 운영 드림랜드 놀이 시설 지금 철거 호수 잔디 광장 친환경 녹지 공원 시설 드림랜드 가운데 양쪽 숲 보존 숲속 상수리나무 잣나무 소나무 아까시나무 사시 나무 혼 다람쥐 청설모 꿩 뱀 개구리 동물 멧비둘기 쇠 박새 참새 까치 조류 서식
3,3,126486,12,A01,A0101,A01010500,도산공원,1,1001,서울특별시 강남구 도산대로45길 20 ,20000000000000.0,20200000000000.0,127.0338117,37.52146325,6,http://tong.visitkorea.or.kr/cms/resource/60/2678560_image2_1.jpg,문화관광,도시공원,36001,"서울시 강남구 신사동에 자리한 근린공원이다. 도산 안창호 선생이 이 나라 자주와 독립을 위해 바친 위대한 애국정신과 민중의 교화를 위한 교육 정신을 국민의 귀감으로 삼게 하고자 1973년 강남구 신사동에 약 1만여 평 공원을 조성하였다. 망우리 공동묘지에서 선생의 유해를 이장하는 동시에 미국 로스앤젤레스에서 부인 이혜련 여사의 유해를 옮겨와 합장하였다. 그 후, 강남구 청담동에서 논현동에 이르는 노폭 50m 연장 3250m의 신설가로를 도산대로로 명명하였다. 공원 내에는 도산 선생 기념물로 동상 1기, 어록비 1기, 비문해설기 1기 등이 설치되어 있으며, 매년 3월 10일 이곳에서 흥사단 및 도산기념사업회 주관으로 도산 선생 추모 기념행사를 거행한다.",강남구 신사동 린 공원 도산 안창호 선생 나라 자주 독립 애국 정신과 민중 교화 교육 정신 귀감 강남구 신사동 공원 조성 망우 리 공동묘지 선생 유해 이장 동시 미국 로스앤젤레스 부인 이혜련 여사 유해 합장 강남구 청담동 논현동 노폭 연장 신설 가로 도산대로 공원 도산 선생 기념물 동상 기 어록 비 기 비문 설기 기 설치 매년 흥사단 도산 기념 사업 회 주관 도산 선생 추모 기념 행사 거행
4,4,987974,12,A01,A0101,A01010500,아쿠아플라넷63,1,1020,서울특별시 영등포구 63로 50 63한화생명빌딩 ,20100000000000.0,20200000000000.0,126.9398592,37.51962845,6,http://tong.visitkorea.or.kr/cms/resource/77/1907677_image2_1.jpg,문화관광,테마공원,21290,"63스퀘어에 위치한 아쿠아 플라넷63은 리모델링으로 2016년 7월1일 개장하였으며, 수달플라넷, 수초 수조와 아마존 수조, 폐어 수조로 이루어진 아쿠아가든, 아름다운 빛의 해파리가 있는 골든 미라클존, 펭귄 플라넷, 물범 플라넷, 형형색색의 산호들이 아름다운 코랄 플라넷 등 다양하고 신기한 생물들과 다채로운 주제로 꾸며진 새로운 공간들이 마련됐다. 메인 수조에서는 음악과 조명이 어우러져 펼쳐지는 판타스틱 머메이드쇼를 관람 할 수 있다.<br>",스퀘어 아쿠아 플라넷 리 모델링 개장 수달 플라넷 수초 수조 아마존 수조 폐어 수조 아쿠아 가든 빛 해파리 골든 미라클 존 펭귄 플라넷 물범 플라넷 형형색색 산호 코랄 플라넷 생물 채 주제 공간 마련 메인 수조 음악 조명 판타스틱 머메이드 쇼 관람
5,5,1131275,12,A01,A0101,A01010400,매헌시민의숲,1,1015,서울특별시 서초구 매헌로 99 (양재동),20100000000000.0,20200000000000.0,127.0369572,37.47303838,6,http://tong.visitkorea.or.kr/cms/resource/66/2668466_image2_1.jpg,문화관광,도시공원,18043,"1986년의 서울아시아경기대회와 1988년의 제24회 올림픽경기대회를 위해 서울특별시의 관문인 양재 톨게이트 주변에 조성한 공원으로, 다양한 수종의 숲이 볼만하며(소나무, 느티나무, 당단풍, 칠엽수, 잣나무 등 43종 94,800주), 숲이 좋아 연인들의 만남의 장소로 이용되고 있다. 현재 도심에서는 매우 보기 드문 울창한 수림대를 형성하고 있고, 특히 가을에는 감, 모과 등 과일이 열려 풍성한 자연을 만끽할 수 있다. 야외예식장과, 농구장, 배구장(족구장 겸용), 테니스장, 맨발공원 등의 운동시설이 있으며, 윤봉길의사 상, 윤봉길의사 숭모비, 대한항공 위령탑, 삼풍사고위령탑, 유격백마부대충혼탑이 있다.<br>",아시아 대회 제 올림픽경기 대회 관문 양재 톨게이트 주변 조성 공원 수종 숲 만하 소나무 느티나무 당단풍 칠엽수 잣나무 종 숲 연인 만남 장소 현재 도심 보기 울창 수림 형성 가을 감 모과 과일 자연 만끽 야외 예식장 농구장 배구 족구 겸용 테니스장 맨발 공원 운동 시설 윤봉길 의사 상 윤봉길 의사 숭모 비 대한항공 위령 탑 삼풍 사고 위령 탑 유격 백마부대 충혼탑
6,6,591603,12,A01,A0101,A01010500,씨랄라워터파크,1,1020,서울특별시 영등포구 문래로 164 (문래동3가),20100000000000.0,20200000000000.0,126.9000712,37.51785294,6,http://tong.visitkorea.or.kr/cms/resource/47/1985547_image2_1.jpg,문화관광,테마공원,15051,"씨랄라는 영문 ''SEA[:바다]와 의성어 LALA[:신나고 즐거운]''의 합성어로일상에 지친 도시인들에게 지중해 바닷가에 온 듯한 휴양감과 계절, 거리의 제약을 뛰어 넘어 사계절 언제나 가장 가깝게 찾으실 수 있는 도심 속 신개념 Waterpark & Spa 입니다.<br /><br />[출처 : 씨랄라워터파크]<br>",씨랄 영문 바다 의성어 합성어 일상 도시 지중해 바닷가 듯 휴양 감 계절 거리 제약 사계절 가장 도심 개념 출처 씨 워터파크
7,7,1603482,12,A01,A0101,A01010700,남산야외식물원,1,1021,서울특별시 용산구 소월로 323 ,20100000000000.0,20200000000000.0,126.9969034,37.54156581,6,http://tong.visitkorea.or.kr/cms/resource/85/2526385_image2_1.jpg,문화관광,테마공원,11672,"1994년 철거한 용산구 한남동 외인주택 터에 만들어진 식물원을 1997년 2월 18일에 개원되었다. 면적은 59.241㎡이며 보유식 불은 13개의 주제로 나누어져 있고 서울지방에서 자랄 수 있는 식물 총 269종 117,132주가 심어져 있다. 이중 나무 종류는 소나무 등 129종 60,912주이고 풀 종류는 할미꽃 등 140종 56,220본이다.",철거 용산구 한남동 외인 주택 식물원 개원 면적 보유 불 개 주제 지방 식물 총 종 주가 이중 나무 종류 소나무 종 풀 종류 할미꽃 종
8,8,749216,12,A01,A0101,A01010700,서울창포원,1,1010,서울특별시 도봉구 마들로 916 ,20100000000000.0,20200000000000.0,127.0481278,37.6893801,6,http://tong.visitkorea.or.kr/cms/resource/23/2356723_image2_1.jpg,문화관광,테마공원,10519,"서울 강북의 끝자락인 도봉산과 수락산 사이에 세계 4대 꽃 중 하나로 꼽히는 붓꽃(Iris)이 가득한 특수식물원이 들어섰다. 도봉구 도봉동 4번지 일대 52,417㎡에 새롭게 조성한 서울창포원은 붓꽃원, 약용식물원, 습지원 등 12개의 테마로 구분 조성됐다. 이중 붓꽃원에는 130종의 다양한 붓꽃 30만본을 약 15,000㎡의 면적에 식재해 종류별로 붓꽃의 아름다움을 감상할 수 있게 만들었다. 이곳에는 노랑꽃창포, 부채붓꽃, 타래붓꽃, 범부채 등 꽃봉오리가 ''붓'' 모양을 한 붓꽃류 130여종 30만본이 1만5천㎡에 걸쳐 식재돼 있어 ''창포원''으로 이름 붙여졌다.  또한 약용식물원에는 70종 13만본이 식재돼 있어 국내에서 생산되는 약용식물 대부분을 한자리에서 관찰할 수 있다. 습지원은 습지식물 7만본이 식재돼 있으며, 각종 수생식물과 습지생물들을 관찰할 수 있도록 관찰데크가 설치됐다. 이밖에 군락지 식생의 변화과정을 관찰할 수 있는 천이관찰원을 비롯, 숲속쉼터 등을 조성해 주민들에게 생태교육 및 여가와 휴식공간으로 제공할 계획이다. 붓꽃(Iris)은 매년 5~6월 개화하며 꽃이 없을 때에도 잎 모양이 난과 비슷해 관상용으로 좋다.<br /><br />* 주요식물<br />수목 : 낙우송, 느티나무, 스트로브잣나무, 소나무 등 39종  2,726주<br />관목 : 갯버들, 골담초, 조팝나무, 사철나무, 화살나무 등 18종 57,035주<br />초화 : 달뿌리풀, 맥문동, 터리풀, 구절초, 물억새, 꽃나리 등 46종 438,512본<br />붓꽃  : 꽃창포, 노랑꽃창포, 부채붓꽃, 타래붓꽃, 범부채 등 130종 218,453본<br>",강북 자락 도봉산 수락산 사이 세계 꽃 하나로 붓꽃 특수 식물원 도봉구 도봉동 번지 일대 조성 창포 붓꽃 약용식물 습지 개 테마 구분 조성 이중 붓꽃 종 붓꽃 면적 종류 별로 붓꽃 움 감상 노랑 꽃창포 부채 붓꽃 타래 붓꽃 범부채 꽃봉오리 붓 모양 붓꽃 류 여종 창포 이름 또한 약용식물 종 국내 생산 약용식물 대부분 한자리 관찰 습지 습지 식물 각종 수생 식물 습지 생물 관찰 관찰 데크 설치 군락 식생 변화 과정 관찰 천이 관찰 비롯 숲속 조성 주민 생태 교육 여가 휴식 공간 제공 계획 붓꽃 매년 개화 꽃 잎 모양 난 관상 식물 수목 낙우송 느티나무 스트로브잣나무 소나무 종 관목 갯버들 골담초 조팝나무 사철나무 화살나무 종 초 달 뿌리 풀 맥문동 터리풀 구절초 물 억새 꽃 나리 종 붓꽃 꽃창포 노랑 꽃창포 부채 붓꽃 타래 붓꽃 범부채 종
9,9,2752525,12,A01,A0101,A01010500,마루공원,1,1001,서울특별시 강남구 개포로109길 74 (개포동),20200000000000.0,20200000000000.0,127.0801415,37.49593649,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,문화관광,도시공원,9013,"강남구 일원동에 있는 마루공원은 주차가 가능한 공원으로 반려견과 함께 산책하기 좋은 곳이다. 날씨가 좋을 때는 다수의 방문객이 공원에 설치된 그늘막 아래쪽에서 텐트와 의자를 펼치고 쉬는 모습을 볼 수 있다. 공원 내에는 2개의 놀이터 구역이 있는데 한 곳은 미끄럼틀과 그네가 있는 일반 놀이터이고, 또 다른 구역은 여러 종류의 도로 교통 표지판들이 나열되어 있어 교통안전 교육과 더불어 기차, 자동차 등을 타고 놀 수 있는 공간으로 구성되어 있으며, 놀이터 바닥이 푹신푹신하게 되어 있어 어린이들이 넘어져도 다치지 않고 안전하게 뛰어놀 수 있다.",강남구 일원동 마루 공원 주차 공원 반려견 산책 날씨 다수 방문객 공원 설치 그늘 막 아래쪽 텐트 의자 모습 공원 개 놀이터 구역 미끄럼틀 그네 놀이터 다른 구역 종류 도로 표지판 나열 안전 교육 기차 자동차 타고 놀 공간 구성 놀이터 바닥 어린이
